observation_id,provider_id,period_end,period_label,reported_passings,aligned_denominator,reported_connections,reported_penetration,calculated_penetration,passings_unit,customer_scope,denominator_scope,quality_grade,source_id,caveat
att_2024q2,att,2024-06-30,2Q24,27800000,22100000,8798000,0.400,0.3981,locations,Consumer fiber connections,Consumer fiber served locations,A,att_q4_2025_trending,"Reported penetration rounded to whole percent"
att_2024q3,att,2024-09-30,3Q24,28300000,22700000,9024000,0.400,0.3975,locations,Consumer fiber connections,Consumer fiber served locations,A,att_q4_2025_trending,"Reported penetration rounded to whole percent"
att_2024q4,att,2024-12-31,4Q24,28900000,23300000,9331000,0.400,0.4005,locations,Consumer fiber connections,Consumer fiber served locations,A,att_q4_2025_trending,"Reported penetration rounded to whole percent"
att_2025q1,att,2025-03-31,1Q25,29500000,23800000,9592000,0.400,0.4030,locations,Consumer fiber connections,Consumer fiber served locations,A,att_q4_2025_trending,"Served locations begin including Gigapower in 1Q25"
att_2025q2,att,2025-06-30,2Q25,30300000,24400000,9835000,0.400,0.4031,locations,Consumer fiber connections,Consumer fiber served locations,A,att_q4_2025_trending,"Served locations include Gigapower"
att_2025q3,att,2025-09-30,3Q25,31200000,25100000,10123000,0.400,0.4033,locations,Consumer fiber connections,Consumer fiber served locations,A,att_q4_2025_trending,"Served locations include Gigapower"
att_2025q4,att,2025-12-31,4Q25,32000000,25800000,10406000,0.400,0.4033,locations,Consumer fiber connections,Consumer fiber served locations,A,att_q4_2025_trending,"Served locations include Gigapower"
kinetic_2024q2,kinetic,2024-06-30,2Q24,1553000,1553000,418000,0.269,0.2692,locations,Consumer fiber subscribers,Consumer fiber premises passed,A,kinetic_q2_2026_presentation,"1G-capable facilities"
kinetic_2024q3,kinetic,2024-09-30,3Q24,1595000,1595000,435000,0.273,0.2727,locations,Consumer fiber subscribers,Consumer fiber premises passed,A,kinetic_q2_2026_presentation,"1G-capable facilities"
kinetic_2024q4,kinetic,2024-12-31,4Q24,1626000,1626000,446000,0.274,0.2743,locations,Consumer fiber subscribers,Consumer fiber premises passed,A,kinetic_q2_2026_presentation,"1G-capable facilities"
kinetic_2025q1,kinetic,2025-03-31,1Q25,1664000,1664000,464000,0.279,0.2788,locations,Consumer fiber subscribers,Consumer fiber premises passed,A,kinetic_q2_2026_presentation,"1G-capable facilities"
kinetic_2025q2,kinetic,2025-06-30,2Q25,1716000,1716000,483000,0.281,0.2815,locations,Consumer fiber subscribers,Consumer fiber premises passed,A,kinetic_q2_2026_presentation,"1G-capable facilities"
kinetic_2025q3,kinetic,2025-09-30,3Q25,1772000,1772000,507000,0.286,0.2861,locations,Consumer fiber subscribers,Consumer fiber premises passed,A,kinetic_q2_2026_presentation,"1G-capable facilities"
kinetic_2025q4,kinetic,2025-12-31,4Q25,1851000,1851000,535000,0.289,0.2890,locations,Consumer fiber subscribers,Consumer fiber premises passed,A,kinetic_q2_2026_presentation,"1G-capable facilities"
kinetic_2026q1,kinetic,2026-03-31,1Q26,1939000,1939000,564000,0.291,0.2909,locations,Consumer fiber subscribers,Consumer fiber premises passed,A,kinetic_q2_2026_presentation,"1G-capable facilities"
kinetic_2026q2,kinetic,2026-06-30,2Q26,2080000,2080000,603000,0.290,0.2899,locations,Consumer fiber subscribers,Consumer fiber premises passed,A,kinetic_q2_2026_presentation,"1G-capable facilities"
optimum_2023q4,optimum,2023-12-31,4Q23,,,341000,0.125,,locations,Fiber customers,Fiber network passings,B,optimum_q4_2023_results,"Fiber customers include migrations from HFC"
optimum_2024q1,optimum,2024-03-31,1Q24,,,395000,0.142,,locations,Fiber customers,Fiber network passings,B,optimum_q1_2024_results,"Fiber customers include migrations from HFC"
optimum_2024q2,optimum,2024-06-30,2Q24,2800000,2800000,434000,0.153,0.1550,locations,Fiber customers,Fiber network passings,B,optimum_q2_2024_results,"Passings rounded; fiber customers include migrations from HFC"
optimum_2024q3,optimum,2024-09-30,3Q24,2900000,2900000,482000,0.166,0.1662,locations,Fiber customers,Fiber network passings,B,optimum_q3_2024_results,"Passings rounded; fiber customers include migrations from HFC"
optimum_2024q4,optimum,2024-12-31,4Q24,,,538000,0.182,,locations,Fiber customers,Fiber network passings,B,optimum_q4_2024_results,"Fiber customers include migrations from HFC"
optimum_2025q1,optimum,2025-03-31,1Q25,,,607000,0.203,,locations,Fiber customers,Fiber network passings,B,optimum_q1_2025_results,"Fiber customers include migrations from HFC"
optimum_2025q2,optimum,2025-06-30,2Q25,3000000,3000000,663000,0.219,0.2210,locations,Fiber customers,Fiber network passings,B,optimum_q2_2025_results,"Company says over 3.0m passings; denominator stored at floor; use reported penetration"
optimum_2025q3,optimum,2025-09-30,3Q25,3000000,3000000,703000,0.230,0.2343,locations,Fiber customers,Fiber network passings,B,optimum_q3_2025_results,"Company says over 3.0m passings; denominator stored at floor; use reported penetration"
optimum_2025q4,optimum,2025-12-31,4Q25,3100000,3100000,716000,0.231,0.2310,locations,Fiber customers,Fiber network passings,B,optimum_q4_2025_results,"Fiber customers include migrations from HFC"
shentel_2025q1,shentel_glo,2025-03-31,1Q25,362861,362861,70565,0.194,0.1945,locations,Data RGUs,Glo Fiber expansion-market passings,A,shentel_q1_2025_results,"Expansion markets only; excludes incumbent broadband footprint"
altafiber_2020,altafiber,2020-12-31,2020A,500000,500000,244000,0.490,0.4880,locations,FTTP subscribers,FTTP homes passed,C,altafiber_2024_financing_deck,"Annual transaction/financing snapshot; excludes new markets"
altafiber_2021,altafiber,2021-12-31,2021A,512000,512000,264000,0.510,0.5156,locations,FTTP subscribers,FTTP homes passed,C,altafiber_2024_financing_deck,"Annual transaction/financing snapshot; excludes new markets"
altafiber_2022,altafiber,2022-12-31,2022A,617000,617000,300000,0.490,0.4862,locations,FTTP subscribers,FTTP homes passed,C,altafiber_2024_financing_deck,"Annual transaction/financing snapshot; excludes new markets"
altafiber_2023,altafiber,2023-12-31,2023A,712000,712000,338000,0.480,0.4747,locations,FTTP subscribers,FTTP homes passed,C,altafiber_2024_financing_deck,"Annual transaction/financing snapshot; excludes new markets"
hawaiian_2020,hawaiian_telcom,2020-12-31,2020A,181000,181000,53000,0.290,0.2928,locations,FTTP subscribers,FTTP homes passed,C,hawaiian_2024_financing_deck,"Annual financing snapshot"
hawaiian_2021,hawaiian_telcom,2021-12-31,2021A,207000,207000,61000,0.290,0.2947,locations,FTTP subscribers,FTTP homes passed,C,hawaiian_2024_financing_deck,"Annual financing snapshot"
hawaiian_2022,hawaiian_telcom,2022-12-31,2022A,252000,252000,71000,0.280,0.2817,locations,FTTP subscribers,FTTP homes passed,C,hawaiian_2024_financing_deck,"Annual financing snapshot"
hawaiian_2023,hawaiian_telcom,2023-12-31,2023A,306000,306000,87000,0.290,0.2843,locations,FTTP subscribers,FTTP homes passed,C,hawaiian_2024_financing_deck,"Annual financing snapshot"
