observation_id,provider_id,cohort_label,cohort_launch_period,observed_as_of,months_since_launch,cohort_passings,reported_penetration,quality_grade,source_id,cohort_definition,caveat
shentel_2023q4_launch_2021q4_age24,shentel_glo,Q4 2021 launch,2021-Q4,2023-12-31,24,14000,0.172,A,shentel_2023q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q4_launch_2021q3_age27,shentel_glo,Q3 2021 launch,2021-Q3,2023-12-31,27,14000,0.262,A,shentel_2023q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q4_launch_2021q2_age30,shentel_glo,Q2 2021 launch,2021-Q2,2023-12-31,30,12000,0.241,A,shentel_2023q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q4_launch_2021q1_age33,shentel_glo,Q1 2021 launch,2021-Q1,2023-12-31,33,6000,0.239,A,shentel_2023q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q4_launch_2020q4_age36,shentel_glo,Q4 2020 launch,2020-Q4,2023-12-31,36,6000,0.303,A,shentel_2023q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2024q1_launch_2024q1_age0,shentel_glo,Q1 2024 launch,2024-Q1,2024-03-31,0,25000,0.034,A,shentel_2024q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2024q1_launch_2023q4_age3,shentel_glo,Q4 2023 launch,2023-Q4,2024-03-31,3,31000,0.090,A,shentel_2024q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2024q1_launch_2023q3_age6,shentel_glo,Q3 2023 launch,2023-Q3,2024-03-31,6,20000,0.137,A,shentel_2024q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2024q1_launch_2023q2_age9,shentel_glo,Q2 2023 launch,2023-Q2,2024-03-31,9,21000,0.156,A,shentel_2024q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2024q1_launch_2023q1_age12,shentel_glo,Q1 2023 launch,2023-Q1,2024-03-31,12,17000,0.174,A,shentel_2024q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2024q1_launch_2022q4_age15,shentel_glo,Q4 2022 launch,2022-Q4,2024-03-31,15,16000,0.204,A,shentel_2024q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2024q1_launch_2022q3_age18,shentel_glo,Q3 2022 launch,2022-Q3,2024-03-31,18,18000,0.206,A,shentel_2024q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2024q1_launch_2022q2_age21,shentel_glo,Q2 2022 launch,2022-Q2,2024-03-31,21,19000,0.212,A,shentel_2024q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2024q1_launch_2022q1_age24,shentel_glo,Q1 2022 launch,2022-Q1,2024-03-31,24,18000,0.179,A,shentel_2024q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2024q1_launch_2021q4_age27,shentel_glo,Q4 2021 launch,2021-Q4,2024-03-31,27,14000,0.178,A,shentel_2024q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2024q1_launch_2021q3_age30,shentel_glo,Q3 2021 launch,2021-Q3,2024-03-31,30,14000,0.272,A,shentel_2024q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2024q1_launch_2021q2_age33,shentel_glo,Q2 2021 launch,2021-Q2,2024-03-31,33,12000,0.247,A,shentel_2024q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2024q1_launch_2021q1_age36,shentel_glo,Q1 2021 launch,2021-Q1,2024-03-31,36,6000,0.250,A,shentel_2024q1_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2024q2_launch_2024q2_age0,shentel_glo,Q2 2024 launch,2024-Q2,2024-06-30,0,22000,0.053,A,shentel_2024q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q2_launch_2024q1_age3,shentel_glo,Q1 2024 launch,2024-Q1,2024-06-30,3,25000,0.076,A,shentel_2024q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q2_launch_2023q4_age6,shentel_glo,Q4 2023 launch,2023-Q4,2024-06-30,6,31000,0.107,A,shentel_2024q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q2_launch_2023q3_age9,shentel_glo,Q3 2023 launch,2023-Q3,2024-06-30,9,20000,0.150,A,shentel_2024q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q2_launch_2023q2_age12,shentel_glo,Q2 2023 launch,2023-Q2,2024-06-30,12,21000,0.170,A,shentel_2024q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q2_launch_2023q1_age15,shentel_glo,Q1 2023 launch,2023-Q1,2024-06-30,15,17000,0.188,A,shentel_2024q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q2_launch_2022q4_age18,shentel_glo,Q4 2022 launch,2022-Q4,2024-06-30,18,16000,0.216,A,shentel_2024q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q2_launch_2022q3_age21,shentel_glo,Q3 2022 launch,2022-Q3,2024-06-30,21,18000,0.215,A,shentel_2024q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q2_launch_2022q2_age24,shentel_glo,Q2 2022 launch,2022-Q2,2024-06-30,24,19000,0.218,A,shentel_2024q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q2_launch_2022q1_age27,shentel_glo,Q1 2022 launch,2022-Q1,2024-06-30,27,18000,0.183,A,shentel_2024q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q2_launch_2021q4_age30,shentel_glo,Q4 2021 launch,2021-Q4,2024-06-30,30,14000,0.183,A,shentel_2024q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q2_launch_2021q3_age33,shentel_glo,Q3 2021 launch,2021-Q3,2024-06-30,33,14000,0.279,A,shentel_2024q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q2_launch_2021q2_age36,shentel_glo,Q2 2021 launch,2021-Q2,2024-06-30,36,12000,0.253,A,shentel_2024q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q3_launch_2024q3_age0,shentel_glo,Q3 2024 launch,2024-Q3,2024-09-30,0,22000,0.048,A,shentel_2024q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q3_launch_2024q2_age3,shentel_glo,Q2 2024 launch,2024-Q2,2024-09-30,3,22000,0.110,A,shentel_2024q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q3_launch_2024q1_age6,shentel_glo,Q1 2024 launch,2024-Q1,2024-09-30,6,25000,0.094,A,shentel_2024q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q3_launch_2023q4_age9,shentel_glo,Q4 2023 launch,2023-Q4,2024-09-30,9,31000,0.121,A,shentel_2024q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q3_launch_2023q3_age12,shentel_glo,Q3 2023 launch,2023-Q3,2024-09-30,12,20000,0.168,A,shentel_2024q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q3_launch_2023q2_age15,shentel_glo,Q2 2023 launch,2023-Q2,2024-09-30,15,21000,0.187,A,shentel_2024q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q3_launch_2023q1_age18,shentel_glo,Q1 2023 launch,2023-Q1,2024-09-30,18,17000,0.206,A,shentel_2024q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q3_launch_2022q4_age21,shentel_glo,Q4 2022 launch,2022-Q4,2024-09-30,21,16000,0.231,A,shentel_2024q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q3_launch_2022q3_age24,shentel_glo,Q3 2022 launch,2022-Q3,2024-09-30,24,18000,0.228,A,shentel_2024q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q3_launch_2022q2_age27,shentel_glo,Q2 2022 launch,2022-Q2,2024-09-30,27,19000,0.226,A,shentel_2024q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q3_launch_2022q1_age30,shentel_glo,Q1 2022 launch,2022-Q1,2024-09-30,30,18000,0.194,A,shentel_2024q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q3_launch_2021q4_age33,shentel_glo,Q4 2021 launch,2021-Q4,2024-09-30,33,14000,0.192,A,shentel_2024q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q3_launch_2021q3_age36,shentel_glo,Q3 2021 launch,2021-Q3,2024-09-30,36,14000,0.293,A,shentel_2024q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q4_launch_2024q4_age0,shentel_glo,Q4 2024 launch,2024-Q4,2024-12-31,0,27000,0.032,A,shentel_2024q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q4_launch_2024q3_age3,shentel_glo,Q3 2024 launch,2024-Q3,2024-12-31,3,22000,0.119,A,shentel_2024q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q4_launch_2024q2_age6,shentel_glo,Q2 2024 launch,2024-Q2,2024-12-31,6,22000,0.135,A,shentel_2024q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q4_launch_2024q1_age9,shentel_glo,Q1 2024 launch,2024-Q1,2024-12-31,9,25000,0.109,A,shentel_2024q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q4_launch_2023q4_age12,shentel_glo,Q4 2023 launch,2023-Q4,2024-12-31,12,31000,0.134,A,shentel_2024q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q4_launch_2023q3_age15,shentel_glo,Q3 2023 launch,2023-Q3,2024-12-31,15,20000,0.180,A,shentel_2024q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q4_launch_2023q2_age18,shentel_glo,Q2 2023 launch,2023-Q2,2024-12-31,18,21000,0.203,A,shentel_2024q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q4_launch_2023q1_age21,shentel_glo,Q1 2023 launch,2023-Q1,2024-12-31,21,17000,0.219,A,shentel_2024q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q4_launch_2022q4_age24,shentel_glo,Q4 2022 launch,2022-Q4,2024-12-31,24,16000,0.245,A,shentel_2024q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q4_launch_2022q3_age27,shentel_glo,Q3 2022 launch,2022-Q3,2024-12-31,27,18000,0.237,A,shentel_2024q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
shentel_2024q4_launch_2022q2_age30,shentel_glo,Q2 2022 launch,2022-Q2,2024-12-31,30,19000,0.232,A,shentel_2024q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude acquired passings; passings rounded to nearest 1000
